note_id,action_id,brand,action_name,title,body,published_date,likes,likes_captured_at,source_account,source_type,url,modules,peripherals
N001,yeye-orange,爷爷不泡茶,橙香玉露系列,橙香玉露首发,模拟样本：鲜橙香气和玉露茶底的秋季新品。,2026-08-26,2680,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,橙香玉露|玉露茶|鲜橙|新品
N002,yeye-orange,爷爷不泡茶,橙香玉露系列,橙香玉露试喝笔记,模拟样本：新程主题活动与新品一起出现，数据仅为演示。,2026-08-28,2140,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,橙香玉露|玉露茶|鲜橙|新品
N003,yeye-orange,爷爷不泡茶,橙香玉露系列,橙香玉露门店打卡,模拟样本：鲜橙香气和玉露茶底的秋季新品。,2026-08-30,1760,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,橙香玉露|玉露茶|鲜橙|新品
N004,yeye-orange,爷爷不泡茶,橙香玉露系列,橙香玉露口味对比,模拟样本：新程主题活动与新品一起出现，数据仅为演示。,2026-09-01,1320,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,橙香玉露|玉露茶|鲜橙|新品
N005,yeye-campus,爷爷不泡茶,愿新程开学季主题店,开学护照打卡,模拟样本：主题门店设置打卡与盖章玩法。,2026-09-03,1960,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,活动,主题店|打卡|开学礼|会员权益
N006,yeye-campus,爷爷不泡茶,愿新程开学季主题店,主题店盖章换饮品,模拟样本：活动规则按公开报道的场景抽象，数据仅为演示。,2026-09-05,1430,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,活动,主题店|打卡|开学礼|会员权益
N007,yeye-campus,爷爷不泡茶,愿新程开学季主题店,荆楚学子卡福利,模拟样本：主题门店设置打卡与盖章玩法。,2026-09-07,980,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,活动,主题店|打卡|开学礼|会员权益
N008,yeye-museum,爷爷不泡茶,楚韵文化联名主题店,楚韵联名杯套实拍,模拟样本：城市文化元素被转译为杯套、贴纸和门店陈列。,2026-09-09,1580,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,联名|杯套|贴纸|主题店|文创
N009,yeye-museum,爷爷不泡茶,楚韵文化联名主题店,博物馆主题店周边,模拟样本：联名关系为公开模式的模拟复刻，数据仅为演示。,2026-09-11,1120,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,联名|杯套|贴纸|主题店|文创
N010,chagee-clot,霸王茶姬,霸王茶姬×CLOT抹茶系列,CLOT抹茶新品开箱,模拟样本：抹茶新品、主题包材和小程序抽奖形成完整动作链。,2026-09-13,5620,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,联名包材|抽奖|杯套|周边|小程序
N011,chagee-clot,霸王茶姬,霸王茶姬×CLOT抹茶系列,一起抹抹看小程序活动,模拟样本：依据公开报道抽象，点赞为模拟值。,2026-09-15,4380,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,联名包材|抽奖|杯套|周边|小程序
N012,chagee-clot,霸王茶姬,霸王茶姬×CLOT抹茶系列,联名中奖杯周边分享,模拟样本：抹茶新品、主题包材和小程序抽奖形成完整动作链。,2026-09-17,3270,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,联名包材|抽奖|杯套|周边|小程序
N013,chagee-clot,霸王茶姬,霸王茶姬×CLOT抹茶系列,抹茶系列三款对比,模拟样本：依据公开报道抽象，点赞为模拟值。,2026-09-19,2890,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,联名包材|抽奖|杯套|周边|小程序
N014,chagee-disney,霸王茶姬,轻因×迪士尼公主系列,迪士尼公主轻因新品,模拟样本：轻因茶饮搭配角色视觉与门店打卡。,2026-09-21,3140,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,联名|杯套|主题店|打卡
N015,chagee-disney,霸王茶姬,轻因×迪士尼公主系列,轻因桂馥兰香杯套,模拟样本：动作结构为公开活动模式的模拟样本。,2026-08-25,2260,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,联名|杯套|主题店|打卡
N016,chagee-disney,霸王茶姬,轻因×迪士尼公主系列,公主主题门店打卡,模拟样本：轻因茶饮搭配角色视觉与门店打卡。,2026-08-27,1780,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,联名|杯套|主题店|打卡
N017,chagee-matcha,霸王茶姬,全国抹茶系列上新,抹茶系列三款新品测评,模拟样本：同一系列拆成多篇内容，便于演示动作归并。,2026-08-29,2480,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,抹茶|新品|试饮
N018,chagee-matcha,霸王茶姬,全国抹茶系列上新,抹茶茶底口感对比,模拟样本：点赞为模拟值。,2026-08-31,1830,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,抹茶|新品|试饮
N019,hsy-moumou,沪上阿姨,沪上阿姨×《某某》联名,某某联名首杯开箱,模拟样本：IP包装、主题店和线下媒介共同出现。,2026-09-02,4720,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,IP联名|主题店|纸袋|杯套|城市打卡
N020,hsy-moumou,沪上阿姨,沪上阿姨×《某某》联名,主题店与城市大屏打卡,模拟样本：联名对象与互动细节为模拟数据。,2026-09-04,3650,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,IP联名|主题店|纸袋|杯套|城市打卡
N021,hsy-moumou,沪上阿姨,沪上阿姨×《某某》联名,联名包材细节,模拟样本：IP包装、主题店和线下媒介共同出现。,2026-09-06,2910,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,IP联名|主题店|纸袋|杯套|城市打卡
N022,hsy-moumou,沪上阿姨,沪上阿姨×《某某》联名,南京主题巴士偶遇,模拟样本：联名对象与互动细节为模拟数据。,2026-09-08,1980,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,IP联名|主题店|纸袋|杯套|城市打卡
N023,starbucks-carebears,星巴克,星巴克×CARE BEARS主题活动,CARE BEARS杯子开箱,模拟样本：角色周边、会员预售与门店陈列组成联名动作。,2026-09-10,3360,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,联名|玩偶|杯子|会员预售
N024,starbucks-carebears,星巴克,星巴克×CARE BEARS主题活动,星巴克联名周边陈列,模拟样本：参考公开活动节奏，数据仅为演示。,2026-09-12,2780,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,联名|玩偶|杯子|会员预售
N025,starbucks-carebears,星巴克,星巴克×CARE BEARS主题活动,会员预售提醒,模拟样本：角色周边、会员预售与门店陈列组成联名动作。,2026-09-14,1840,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,联名|玩偶|杯子|会员预售
N026,starbucks-peanuts,星巴克,星巴克×PEANUTS会员联动,PEANUTS会员日上新,模拟样本：会员先享与联名包材是主要观察点。,2026-09-16,2460,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,联名|杯套|会员权益
N027,starbucks-peanuts,星巴克,星巴克×PEANUTS会员联动,联名杯套实拍,模拟样本：模拟样本，不代表官方数据。,2026-09-18,1920,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,联名|杯套|会员权益
